ID,model,scale,AIC,AICw,rank
S15071_2015_sum,forest,1110,253.1716657,0.0712,5
S15071_2016_win,forest,90,1304.319985,0.9758,1
S15071_2016_win,forest,30,1311.736243,0.0239,2
S15071_2016_win,forest,150,1320.62595,3.00E-04,3
S15071_2016_win,forest,210,1333.206822,0,4
S15071_2016_win,forest,270,1345.172375,0,5
S15071_2016_sum,forest,1950,1360.253996,0.1455,1
S15071_2016_sum,forest,1890,1360.338425,0.1395,2
S15071_2016_sum,forest,2010,1360.907187,0.1049,3
S15071_2016_sum,forest,1830,1361.260945,0.0879,4
S15071_2016_sum,forest,3030,1362.715157,0.0425,5
S15072_2015_win,forest,30,1450.788966,0.3661,1
S15072_2015_win,forest,90,1453.489755,0.0949,2
S15072_2015_win,forest,150,1454.729351,0.051,3
S15072_2015_win,forest,2670,1456.673223,0.0193,4
S15072_2015_win,forest,2730,1456.677768,0.0193,5
S15072_2015_sum,forest,3630,1471.870373,0.4969,1
S15072_2015_sum,forest,3570,1472.80749,0.311,2
S15072_2015_sum,forest,3690,1475.122539,0.0977,3
S15072_2015_sum,forest,3510,1476.189286,0.0573,4
S15072_2015_sum,forest,3450,1478.527663,0.0178,5
S15072_2016_win,forest,270,437.8045173,0.7233,1
S15072_2016_win,forest,330,440.3674706,0.2008,2
S15072_2016_win,forest,210,444.836785,0.0215,3
S15072_2016_win,forest,3510,446.1719925,0.011,4
S15072_2016_win,forest,3570,446.187257,0.0109,5
S15072_2016_sum,forest,1890,1380.877272,0.4546,1
S15072_2016_sum,forest,1830,1381.376713,0.3541,2
S15072_2016_sum,forest,1950,1383.715913,0.11,3
S15072_2016_sum,forest,1770,1384.674507,0.0681,4
S15072_2016_sum,forest,1710,1389.014248,0.0078,5
S15073_2015_win,forest,3870,1479.662836,0.4902,1
S15073_2015_win,forest,3810,1481.189199,0.2285,2
S15073_2015_win,forest,3750,1482.965748,0.094,3
S15073_2015_win,forest,3690,1484.801784,0.0375,4
S15073_2015_win,forest,1590,1485.429205,0.0274,5
S15073_2015_sum,forest,1230,1365.383247,0.4335,1
S15073_2015_sum,forest,1290,1365.966526,0.3238,2
S15073_2015_sum,forest,1170,1367.972534,0.1188,3
S15073_2015_sum,forest,1350,1368.637484,0.0852,4
S15073_2015_sum,forest,1110,1372.10086,0.0151,5
S15074_2015_win,forest,2070,1410.926721,0.3972,1
S15074_2015_win,forest,2130,1411.347849,0.3218,2
S15074_2015_win,forest,2190,1412.717181,0.1623,3
S15074_2015_win,forest,2010,1414.76449,0.0583,4
S15074_2015_win,forest,2250,1416.583985,0.0235,5
S15074_2015_sum,forest,2850,1295.915171,0.6388,1
S15074_2015_sum,forest,2790,1297.507875,0.2881,2
S15074_2015_sum,forest,2910,1300.557496,0.0627,3
S15074_2015_sum,forest,150,1305.725818,0.0047,4
S15074_2015_sum,forest,2970,1307.616988,0.0018,5
S15074_2016_win,forest,1170,1322.571853,0.3807,1
S15074_2016_win,forest,1230,1323.443011,0.2463,2
S15074_2016_win,forest,1110,1324.197522,0.1689,3
S15074_2016_win,forest,1290,1325.263045,0.0991,4
S15074_2016_win,forest,1050,1326.233776,0.061,5
S15074_2016_sum,forest,870,1359.915828,0.2464,1
S15074_2016_sum,forest,930,1360.16709,0.2173,2
S15074_2016_sum,forest,810,1360.599333,0.1751,3
S15074_2016_sum,forest,990,1361.25991,0.1258,4
S15074_2016_sum,forest,750,1361.987017,0.0875,5
S15076_2015_win,forest,90,1419.351094,0.1549,1
S15076_2015_win,forest,150,1419.706271,0.1297,2
S15076_2015_win,forest,30,1421.182284,0.062,3
S15076_2015_win,forest,210,1421.760142,0.0465,4
S15076_2015_win,forest,1290,1423.518046,0.0193,5
S15076_2015_sum,forest,3510,1254.172018,0.3182,1
S15076_2015_sum,forest,3450,1254.35302,0.2907,2
S15076_2015_sum,forest,3570,1255.54174,0.1604,3
S15076_2015_sum,forest,3390,1256.000983,0.1275,4
S15076_2015_sum,forest,3630,1257.995005,0.047,5
S15076_2016_win,forest,150,783.0450238,0.7974,1
S15076_2016_win,forest,90,785.7851453,0.2026,2
S15076_2016_win,forest,210,806.4608313,0,3
S15076_2016_win,forest,30,807.1210169,0,4
S15076_2016_win,forest,3750,818.5671703,0,5
S15076_2016_sum,forest,690,1398.716843,0.7837,1
S15076_2016_sum,forest,750,1402.470843,0.1199,2
S15076_2016_sum,forest,630,1404.518332,0.0431,3
S15076_2016_sum,forest,2670,1405.888638,0.0217,4
S15076_2016_sum,forest,2730,1407.958233,0.0077,5
S15077_2015_win,forest,1230,1543.805438,0.3112,1
S15077_2015_win,forest,1290,1544.98039,0.173,2
S15077_2015_win,forest,1170,1545.854957,0.1117,3
S15077_2015_win,forest,690,1547.050661,0.0614,4
S15077_2015_win,forest,510,1547.1252,0.0592,5
S15077_2015_sum,forest,3630,1442.568955,0.5973,1
S15077_2015_sum,forest,3570,1444.214702,0.2623,2
S15077_2015_sum,forest,3690,1446.370956,0.0892,3
S15077_2015_sum,forest,3510,1448.248675,0.0349,4
S15077_2015_sum,forest,3450,1451.21128,0.0079,5
S15078_2015_sum,forest,2250,1317.878042,0.6014,1
S15078_2015_sum,forest,2190,1319.430905,0.2767,2
S15078_2015_sum,forest,2310,1321.566759,0.0951,3
S15078_2015_sum,forest,2130,1324.699775,0.0199,4
S15078_2015_sum,forest,2370,1326.928387,0.0065,5
S15079_2015_sum,forest,510,1476.09531,0.3152,1
S15079_2015_sum,forest,570,1476.35031,0.2775,2
S15079_2015_sum,forest,450,1477.505699,0.1557,3
S15079_2015_sum,forest,630,1479.644121,0.0535,4
S15079_2015_sum,forest,2250,1479.869554,0.0478,5
S15080_2015_win,forest,270,1312.369047,0.2688,1
S15080_2015_win,forest,210,1313.172501,0.1799,2
S15080_2015_win,forest,330,1314.831117,0.0785,3
S15080_2015_win,forest,3870,1315.317609,0.0615,4
S15080_2015_win,forest,390,1315.566835,0.0543,5
S15080_2015_sum,forest,30,1196.141529,0.2544,1
S15080_2015_sum,forest,90,1197.104225,0.1572,2
S15080_2015_sum,forest,3270,1197.771092,0.1126,3
S15080_2015_sum,forest,3330,1198.041174,0.0984,4
S15080_2015_sum,forest,3210,1198.182354,0.0917,5
S15080_2016_win,forest,30,1252.703085,0.5182,1
S15080_2016_win,forest,90,1253.768856,0.3041,2
S15080_2016_win,forest,150,1257.391582,0.0497,3
S15080_2016_win,forest,570,1261.142252,0.0076,4
S15080_2016_win,forest,210,1261.176859,0.0075,5
S15080_2016_sum,forest,3630,1158.522726,0.2997,1
S15080_2016_sum,forest,3570,1158.833849,0.2565,2
S15080_2016_sum,forest,3690,1159.073717,0.2275,3
S15080_2016_sum,forest,3750,1160.969177,0.0882,4
S15080_2016_sum,forest,3510,1161.222996,0.0777,5
S15081_2015_sum,forest,1350,1210.884856,0.223,1
S15081_2015_sum,forest,1290,1211.275081,0.1835,2
S15081_2015_sum,forest,1410,1211.450296,0.1681,3
S15081_2015_sum,forest,1470,1212.235353,0.1135,4
S15081_2015_sum,forest,1230,1212.514451,0.0987,5
S15082_2015_sum,forest,3630,1185.932042,0.3437,1
S15082_2015_sum,forest,3570,1186.936541,0.208,2
S15082_2015_sum,forest,3690,1187.278914,0.1753,3
S15082_2015_sum,forest,3510,1187.821034,0.1336,4
S15082_2015_sum,forest,3450,1189.574448,0.0556,5
S15084_2015_win,forest,510,1274.513031,0.0752,1
S15084_2015_win,forest,570,1274.570611,0.073,2
S15084_2015_win,forest,450,1274.829953,0.0642,3
S15084_2015_win,forest,630,1275.209569,0.0531,4
S15084_2015_win,forest,390,1275.545714,0.0449,5
S15084_2015_sum,forest,3690,1242.21564,0.3071,1
S15084_2015_sum,forest,3630,1242.467783,0.2708,2
S15084_2015_sum,forest,3750,1243.378878,0.1717,3
S15084_2015_sum,forest,3570,1243.967294,0.1279,4
S15084_2015_sum,forest,3810,1245.799068,0.0512,5
S15084_2016_win,forest,90,1168.667036,0.8726,1
S15084_2016_win,forest,30,1172.552477,0.1251,2
S15084_2016_win,forest,150,1180.534544,0.0023,3
S15084_2016_win,forest,210,1200.395248,0,4
S15084_2016_win,forest,270,1216.922932,0,5
S15084_2016_sum,forest,630,1241.453062,0.2037,1
S15084_2016_sum,forest,690,1241.795817,0.1716,2
S15084_2016_sum,forest,570,1242.207668,0.1397,3
S15084_2016_sum,forest,750,1242.45684,0.1233,4
S15084_2016_sum,forest,810,1243.436747,0.0756,5
S15085_2015_sum,forest,30,1200.702096,0.9997,1
S15085_2015_sum,forest,90,1216.752848,3.00E-04,2
S15085_2015_sum,forest,150,1223.526039,0,3
S15085_2015_sum,forest,210,1230.787501,0,4
S15085_2015_sum,forest,450,1231.420866,0,5
S15086_2015_sum,forest,1110,1176.503594,0.1222,1
S15086_2015_sum,forest,1170,1176.628622,0.1148,2
S15086_2015_sum,forest,1050,1176.642879,0.1139,3
S15086_2015_sum,forest,1230,1176.659614,0.113,4
S15086_2015_sum,forest,1290,1176.790774,0.1058,5
S15087_2015_sum,forest,210,1166.886485,0.7769,1
S15087_2015_sum,forest,270,1169.688501,0.1914,2
S15087_2015_sum,forest,150,1173.75052,0.0251,3
S15087_2015_sum,forest,330,1176.462481,0.0065,4
S15087_2015_sum,forest,90,1185.468557,1.00E-04,5
S15088_2015_sum,forest,2730,1215.959553,0.4674,1
S15088_2015_sum,forest,2670,1216.84887,0.2996,2
S15088_2015_sum,forest,2790,1218.424563,0.1363,3
S15088_2015_sum,forest,2610,1219.795822,0.0686,4
S15088_2015_sum,forest,2550,1222.807573,0.0152,5
S15088_2016_win,forest,870,1241.868398,0.4313,1
S15088_2016_win,forest,810,1243.34908,0.2057,2
S15088_2016_win,forest,930,1243.620791,0.1796,3
S15088_2016_win,forest,750,1244.718484,0.1037,4
S15088_2016_win,forest,990,1246.326662,0.0464,5
S15088_2016_sum,forest,1530,1251.543407,0.1679,1
S15088_2016_sum,forest,1470,1251.702533,0.1551,2
S15088_2016_sum,forest,1590,1251.846462,0.1443,3
S15088_2016_sum,forest,1410,1252.441236,0.1072,4
S15088_2016_sum,forest,1650,1252.792871,0.0899,5
S15090_2015_win,forest,1590,1239.817041,0.1761,1
S15090_2015_win,forest,1530,1239.867203,0.1717,2
S15090_2015_win,forest,1470,1240.430275,0.1296,3
S15090_2015_win,forest,1650,1240.519197,0.124,4
S15090_2015_win,forest,1410,1241.263573,0.0854,5
S15090_2015_sum,forest,1590,1243.3917,0.1863,1
S15090_2015_sum,forest,1530,1243.584343,0.1692,2
S15090_2015_sum,forest,1650,1244.00555,0.1371,3
S15090_2015_sum,forest,1470,1244.183854,0.1254,4
S15090_2015_sum,forest,1710,1245.011572,0.0829,5
S15090_2016_win,forest,3750,1257.290067,0.1515,1
S15090_2016_win,forest,3630,1257.329597,0.1486,2
S15090_2016_win,forest,3690,1257.46986,0.1385,3
S15090_2016_win,forest,3570,1257.530944,0.1343,4
S15090_2016_win,forest,3810,1257.925761,0.1103,5
S15090_2016_sum,forest,2790,1173.90005,0.3533,1
S15090_2016_sum,forest,2850,1174.149678,0.3118,2
S15090_2016_sum,forest,2730,1175.451394,0.1627,3
S15090_2016_sum,forest,2910,1176.125316,0.1161,4
S15090_2016_sum,forest,2670,1178.466536,0.036,5
S15091_2015_win,forest,90,1136.919373,0.999,1
S15091_2015_win,forest,30,1151.187752,8.00E-04,2
S15091_2015_win,forest,150,1153.658541,2.00E-04,3
S15091_2015_win,forest,210,1177.921969,0,4
S15091_2015_win,forest,270,1195.657126,0,5
S15091_2015_sum,forest,2970,1481.066301,0.1608,1
S15091_2015_sum,forest,2910,1481.085572,0.1593,2
S15091_2015_sum,forest,3030,1481.166135,0.153,3
S15091_2015_sum,forest,2850,1481.514951,0.1285,4
S15091_2015_sum,forest,3090,1481.90729,0.1056,5
S15091_2016_win,forest,2610,969.5210222,0.5379,1
S15091_2016_win,forest,2670,971.1093864,0.2431,2
S15091_2016_win,forest,2550,971.4890535,0.2011,3
S15091_2016_win,forest,2490,977.0434182,0.0125,4
S15091_2016_win,forest,2730,979.3371167,0.004,5
S15091_2016_sum,forest,90,1177.500006,0.192,1
S15091_2016_sum,forest,150,1178.443607,0.1198,2
S15091_2016_sum,forest,210,1180.385762,0.0454,3
S15091_2016_sum,forest,30,1180.549214,0.0418,4
S15091_2016_sum,forest,330,1180.825758,0.0364,5
S15092_2015_win,forest,990,1144.83318,0.1938,1
S15092_2015_win,forest,1050,1144.904766,0.187,2
S15092_2015_win,forest,930,1145.081876,0.1711,3
S15092_2015_win,forest,1110,1145.614239,0.1311,4
S15092_2015_win,forest,870,1146.206498,0.0975,5
S15092_2015_sum,forest,1830,1101.677102,0.312,1
S15092_2015_sum,forest,1890,1102.135534,0.2481,2
S15092_2015_sum,forest,1770,1102.505678,0.2062,3
S15092_2015_sum,forest,1710,1103.729355,0.1118,4
S15092_2015_sum,forest,1950,1104.630497,0.0713,5
S15092_2016_win,forest,3810,1114.372666,0.3445,1
S15092_2016_win,forest,3870,1114.793452,0.2791,2
S15092_2016_win,forest,3750,1114.831112,0.2739,3
S15092_2016_win,forest,3690,1117.098289,0.0882,4
S15092_2016_win,forest,3630,1120.886495,0.0133,5
S15092_2016_sum,forest,1830,1073.11983,0.3956,1
S15092_2016_sum,forest,1770,1074.158478,0.2353,2
S15092_2016_sum,forest,1890,1074.326524,0.2164,3
S15092_2016_sum,forest,1710,1076.54199,0.0715,4
S15092_2016_sum,forest,1950,1077.004104,0.0567,5
S15093_2015_sum,forest,1890,1442.761863,0.3684,1
S15093_2015_sum,forest,1950,1443.774656,0.222,2
S15093_2015_sum,forest,1830,1443.790207,0.2203,3
S15093_2015_sum,forest,2010,1445.502115,0.0936,4
S15093_2015_sum,forest,1770,1446.535487,0.0558,5
S15097_2015_sum,forest,2790,1078.00168,0.3427,1
S15097_2015_sum,forest,2730,1078.784538,0.2317,2
S15097_2015_sum,forest,2850,1079.268831,0.1819,3
S15097_2015_sum,forest,2670,1080.010744,0.1255,4
S15097_2015_sum,forest,2910,1081.749344,0.0526,5
S15097_2016_win,forest,810,1128.27335,0.1815,1
S15097_2016_win,forest,930,1128.551372,0.1579,2
S15097_2016_win,forest,870,1128.662579,0.1494,3
S15097_2016_win,forest,750,1128.735464,0.144,4
S15097_2016_win,forest,690,1129.348874,0.106,5
S15097_2016_sum,forest,2490,1236.513059,0.4801,1
S15097_2016_sum,forest,2430,1237.020759,0.3725,2
S15097_2016_sum,forest,2550,1239.925579,0.0872,3
S15097_2016_sum,forest,2370,1240.769624,0.0572,4
S15097_2016_sum,forest,2310,1247.044096,0.0025,5
S15099_2015_sum,forest,2550,1225.359123,0.4638,1
S15099_2015_sum,forest,2490,1225.368869,0.4615,2
S15099_2015_sum,forest,2430,1229.886869,0.0482,3
S15099_2015_sum,forest,2610,1231.228973,0.0246,4
S15099_2015_sum,forest,2370,1236.603459,0.0017,5
S15103_2015_sum,forest,2190,664.1936299,0.5845,1
S15103_2015_sum,forest,2250,665.5879772,0.2911,2
S15103_2015_sum,forest,2130,667.5888419,0.107,3
S15103_2015_sum,forest,2070,672.2446093,0.0104,4
S15103_2015_sum,forest,2310,673.5169203,0.0055,5
S15103_2016_win,forest,990,1124.956736,0.2005,1
S15103_2016_win,forest,1050,1125.064797,0.1899,2
S15103_2016_win,forest,930,1125.098859,0.1867,3
S15103_2016_win,forest,1110,1125.569462,0.1476,4
S15103_2016_win,forest,870,1126.418022,0.0965,5
S15103_2016_sum,forest,510,1140.986706,0.1819,1
S15103_2016_sum,forest,450,1141.412474,0.1471,2
S15103_2016_sum,forest,570,1141.493858,0.1412,3
S15103_2016_sum,forest,150,1142.140346,0.1022,4
S15103_2016_sum,forest,210,1142.520256,0.0845,5
S15104_2015_sum,forest,90,864.126454,0.2459,1
S15104_2015_sum,forest,3870,864.682762,0.1862,2
S15104_2015_sum,forest,30,865.9129309,0.1006,3
S15104_2015_sum,forest,3810,865.946204,0.099,4
S15104_2015_sum,forest,150,866.7215808,0.0672,5
S15105_2015_sum,forest,570,991.3957351,0.3656,1
S15105_2015_sum,forest,510,992.3808278,0.2234,2
S15105_2015_sum,forest,630,992.9353783,0.1693,3
S15105_2015_sum,forest,690,993.8042639,0.1096,4
S15105_2015_sum,forest,450,995.3472985,0.0507,5
S15105_2016_win,forest,2550,619.289077,0.1397,1
S15105_2016_win,forest,2610,619.5456259,0.1229,2
S15105_2016_win,forest,30,619.8314073,0.1066,3
S15105_2016_win,forest,2490,619.9245852,0.1017,4
S15105_2016_win,forest,2670,620.5203516,0.0755,5
S15105_2016_sum,forest,1710,1194.984145,0.4446,1
S15105_2016_sum,forest,1770,1195.677126,0.3144,2
S15105_2016_sum,forest,1650,1197.740271,0.1121,3
S15105_2016_sum,forest,1830,1198.49382,0.0769,4
S15105_2016_sum,forest,1590,1200.716141,0.0253,5
S15105_2017_win,forest,90,1133.738735,0.9728,1
S15105_2017_win,forest,30,1141.245431,0.0228,2
S15105_2017_win,forest,150,1144.567658,0.0043,3
S15105_2017_win,forest,210,1153.113073,1.00E-04,4
S15105_2017_win,forest,270,1156.653422,0,5
S15105_2017_sum,forest,90,1114.851016,0.9382,1
S15105_2017_sum,forest,150,1120.323583,0.0608,2
S15105_2017_sum,forest,210,1129.716752,6.00E-04,3
S15105_2017_sum,forest,30,1130.279169,4.00E-04,4
S15105_2017_sum,forest,270,1134.155772,1.00E-04,5
S15106_2015_sum,forest,150,1120.470646,0.6286,1
S15106_2015_sum,forest,90,1121.728464,0.3352,2
S15106_2015_sum,forest,210,1126.200584,0.0358,3
S15106_2015_sum,forest,270,1135.128805,4.00E-04,4
S15106_2015_sum,forest,330,1144.81328,0,5
S15107_2015_sum,forest,3390,902.390689,0.1425,1
S15107_2015_sum,forest,2310,902.8028674,0.1159,2
S15107_2015_sum,forest,2250,902.893018,0.1108,3
S15107_2015_sum,forest,2370,903.3221059,0.0894,4
S15107_2015_sum,forest,2190,903.3257049,0.0893,5
S15107_2016_win,forest,1050,811.1111937,0.5182,1
S15107_2016_win,forest,990,811.7075123,0.3846,2
S15107_2016_win,forest,930,815.8374841,0.0488,3
S15107_2016_win,forest,1110,815.9751552,0.0455,4
S15107_2016_win,forest,870,822.4833822,0.0018,5
S15107_2016_sum,forest,30,1138.524954,0.4058,1
S15107_2016_sum,forest,90,1138.743507,0.3638,2
S15107_2016_sum,forest,150,1141.357656,0.0984,3
S15107_2016_sum,forest,930,1142.544883,0.0544,4
S15107_2016_sum,forest,990,1142.707805,0.0501,5
S15160_2018_sum,forest,90,1138.232177,0.6859,1
S15160_2018_sum,forest,150,1140.770245,0.1928,2
S15160_2018_sum,forest,30,1143.045932,0.0618,3
S15160_2018_sum,forest,990,1145.35586,0.0195,4
S15160_2018_sum,forest,930,1145.366767,0.0194,5
S15165_2018_sum,forest,30,1106.812975,0.4536,1
S15165_2018_sum,forest,1770,1109.831454,0.1003,2
S15165_2018_sum,forest,1830,1110.114922,0.087,3
S15165_2018_sum,forest,1710,1110.348274,0.0774,4
S15165_2018_sum,forest,1890,1110.786397,0.0622,5
S16001_2016_win,forest,1230,742.4540569,0.2937,1
S16001_2016_win,forest,1170,743.0807372,0.2147,2
S16001_2016_win,forest,1290,743.6169334,0.1642,3
S16001_2016_win,forest,1110,744.5767736,0.1016,4
S16001_2016_win,forest,1350,745.0119874,0.0817,5
S16002_2016_win,forest,1770,766.5947136,0.3137,1
S16002_2016_win,forest,1710,767.3776937,0.2121,2
S16002_2016_win,forest,1830,767.4935394,0.2001,3
S16002_2016_win,forest,1650,768.767404,0.1059,4
S16002_2016_win,forest,1890,769.8199973,0.0625,5
S16002_2016_sum,forest,3810,1071.53101,0.2352,1
S16002_2016_sum,forest,3870,1071.800263,0.2056,2
S16002_2016_sum,forest,3750,1071.952139,0.1906,3
S16002_2016_sum,forest,3690,1072.453897,0.1483,4
S16002_2016_sum,forest,3630,1073.330338,0.0957,5
S16003_2016_win,forest,3870,1069.876914,0.2245,1
S16003_2016_win,forest,3810,1069.922077,0.2195,2
S16003_2016_win,forest,3750,1070.165554,0.1943,3
S16003_2016_win,forest,3690,1070.825133,0.1397,4
S16003_2016_win,forest,3630,1071.730842,0.0888,5
S16003_2016_sum,forest,1830,989.0314846,0.0943,1
S16003_2016_sum,forest,1770,989.327675,0.0813,2
S16003_2016_sum,forest,1710,989.7579148,0.0656,3
S16003_2016_sum,forest,1890,989.8075538,0.064,4
S16003_2016_sum,forest,3270,989.957776,0.0594,5
S16004_2016_win,forest,2730,745.8841326,0.1203,1
S16004_2016_win,forest,2790,746.2518908,0.1001,2
S16004_2016_win,forest,2670,746.3925789,0.0933,3
S16004_2016_win,forest,2850,747.0524042,0.0671,4
S16004_2016_win,forest,1770,747.1058751,0.0653,5
S16004_2016_sum,forest,150,699.2396597,0.711,1
S16004_2016_sum,forest,90,701.4434378,0.2362,2
S16004_2016_sum,forest,210,705.1046842,0.0379,3
S16004_2016_sum,forest,30,707.4045724,0.012,4
S16004_2016_sum,forest,270,711.328127,0.0017,5
S16005_2016_win,forest,2490,727.2979593,0.1982,1
S16005_2016_win,forest,2550,727.737935,0.159,2
S16005_2016_win,forest,2430,727.7682759,0.1566,3
S16005_2016_win,forest,2370,728.625856,0.102,4
S16005_2016_win,forest,2310,730.1401649,0.0478,5
S16005_2016_sum,forest,150,686.8128707,0.332,1
S16005_2016_sum,forest,210,688.0464789,0.1792,2
S16005_2016_sum,forest,90,688.8787645,0.1182,3
S16005_2016_sum,forest,270,690.2341338,0.06,4
S16005_2016_sum,forest,330,690.8881711,0.0433,5
S16006_2016_win,forest,90,682.8659349,0.6175,1
S16006_2016_win,forest,30,685.190246,0.1932,2
S16006_2016_win,forest,150,686.6504076,0.0931,3
S16006_2016_win,forest,3210,691.0107659,0.0105,4
S16006_2016_win,forest,3150,691.1955479,0.0096,5
S16006_2016_sum,forest,2370,644.4292999,0.2003,1
S16006_2016_sum,forest,2430,644.7824919,0.1679,2
S16006_2016_sum,forest,2310,644.786196,0.1676,3
S16006_2016_sum,forest,2250,645.3031144,0.1294,4
S16006_2016_sum,forest,2190,645.8613008,0.0979,5
S16006_2017_sum,forest,390,578.7733743,0.3503,1
S16006_2017_sum,forest,330,579.5532321,0.2372,2
S16006_2017_sum,forest,450,579.8321106,0.2063,3
S16006_2017_sum,forest,510,582.0470225,0.0682,4
S16006_2017_sum,forest,270,582.2513245,0.0616,5
S16007_2016_win,forest,2730,829.3440291,0.174,1
S16007_2016_win,forest,2670,829.4381755,0.166,2
S16007_2016_win,forest,2790,829.6007566,0.1531,3
S16007_2016_win,forest,2610,830.1539255,0.1161,4
S16007_2016_win,forest,2850,830.472011,0.099,5
S16007_2016_sum,forest,3390,865.5827391,0.1052,1
S16007_2016_sum,forest,3450,865.6210263,0.1032,2
S16007_2016_sum,forest,3330,865.652986,0.1016,3
S16007_2016_sum,forest,3270,865.6714645,0.1006,4
S16007_2016_sum,forest,3510,865.8526755,0.0919,5
S16007_2017_win,forest,150,546.8355444,0.5448,1
S16007_2017_win,forest,210,548.5442587,0.2318,2
S16007_2017_win,forest,90,550.0069632,0.1116,3
S16007_2017_win,forest,270,550.9308568,0.0703,4
S16007_2017_win,forest,330,553.8705174,0.0162,5
S16007_2017_sum,forest,150,543.3162321,0.5601,1
S16007_2017_sum,forest,210,545.312004,0.2065,2
S16007_2017_sum,forest,510,548.3562523,0.0451,3
S16007_2017_sum,forest,270,548.6360517,0.0392,4
S16007_2017_sum,forest,450,549.064201,0.0316,5
S16007_2018_win,forest,2490,709.6470675,0.2256,1
S16007_2018_win,forest,2550,709.9880642,0.1903,2
S16007_2018_win,forest,2430,710.0248644,0.1868,3
S16007_2018_win,forest,2610,710.5697575,0.1422,4
S16007_2018_win,forest,2670,711.2511577,0.1012,5
S16009_2016_win,forest,930,452.3817113,0.1211,1
S16009_2016_win,forest,990,452.6728168,0.1047,2
S16009_2016_win,forest,870,452.7613282,0.1001,3
S16009_2016_win,forest,810,453.389815,0.0731,4
S16009_2016_win,forest,1050,453.3988981,0.0728,5
S16009_2016_sum,forest,1410,680.8850868,0.2608,1
S16009_2016_sum,forest,1350,681.2821444,0.2138,2
S16009_2016_sum,forest,1470,681.3807781,0.2035,3
S16009_2016_sum,forest,1290,682.2340608,0.1328,4
S16009_2016_sum,forest,1530,683.007794,0.0902,5
S16010_2016_win,forest,1050,667.0120577,0.2324,1
S16010_2016_win,forest,1110,667.7137217,0.1636,2
S16010_2016_win,forest,990,667.7745937,0.1587,3
S16010_2016_win,forest,930,669.4769497,0.0678,4
S16010_2016_win,forest,1170,669.8664184,0.0558,5
S16010_2016_sum,forest,30,388.7728974,0.3875,1
S16010_2016_sum,forest,90,390.8945989,0.1341,2
S16010_2016_sum,forest,1050,393.1778744,0.0428,3
S16010_2016_sum,forest,990,393.3626781,0.039,4
S16010_2016_sum,forest,330,393.6194093,0.0343,5
S16010_2017_win,forest,90,626.0091716,0.6116,1
S16010_2017_win,forest,30,627.4146931,0.3029,2
S16010_2017_win,forest,150,631.3813484,0.0417,3
S16010_2017_win,forest,3870,636.5120791,0.0032,4
S16010_2017_win,forest,210,636.6700039,0.003,5
S16010_2017_sum,forest,90,325.8480492,0.358,1
S16010_2017_sum,forest,150,327.304358,0.1729,2
S16010_2017_sum,forest,30,327.4188514,0.1632,3
S16010_2017_sum,forest,210,331.5817639,0.0204,4
S16010_2017_sum,forest,3090,332.9048658,0.0105,5
S16010_2018_win,forest,90,532.851433,0.3041,1
S16010_2018_win,forest,30,533.0368147,0.2772,2
S16010_2018_win,forest,150,535.8194145,0.069,3
S16010_2018_win,forest,3510,537.230343,0.0341,4
S16010_2018_win,forest,3570,537.4140963,0.0311,5
S16011_2016_win,forest,1050,257.8568673,0.093,1
S16011_2016_win,forest,1110,257.8605862,0.0928,2
S16011_2016_win,forest,990,257.8669952,0.0925,3
S16011_2016_win,forest,1170,257.9266981,0.0898,4
S16011_2016_win,forest,930,258.0722996,0.0835,5
S16011_2016_sum,forest,2370,257.9588222,0.0734,1
S16011_2016_sum,forest,2310,258.0691828,0.0694,2
S16011_2016_sum,forest,2430,258.1513525,0.0666,3
S16011_2016_sum,forest,2250,258.2380541,0.0638,4
S16011_2016_sum,forest,2490,258.4664143,0.0569,5
S16011_2017_win,forest,2790,519.8706852,0.1543,1
S16011_2017_win,forest,2730,519.8785688,0.1537,2
S16011_2017_win,forest,2670,519.9988435,0.1447,3
S16011_2017_win,forest,2610,520.1954919,0.1312,4
S16011_2017_win,forest,2850,520.6001031,0.1072,5
S16011_2017_sum,forest,450,513.3840121,0.2582,1
S16011_2017_sum,forest,510,514.3252107,0.1613,2
S16011_2017_sum,forest,390,514.5352512,0.1452,3
S16011_2017_sum,forest,90,515.4908986,0.09,4
S16011_2017_sum,forest,150,515.7791309,0.078,5
S16012_2016_win,forest,1170,228.9486931,0.0195,1
S16012_2016_win,forest,1110,228.9661983,0.0193,2
S16012_2016_win,forest,1050,229.0422126,0.0186,3
S16012_2016_win,forest,990,229.0640369,0.0184,4
S16012_2016_win,forest,930,229.0701161,0.0184,5
S16012_2016_sum,forest,2610,1071.280795,0.2047,1
S16012_2016_sum,forest,2550,1071.642624,0.1708,2
S16012_2016_sum,forest,2670,1071.670339,0.1684,3
S16012_2016_sum,forest,2730,1072.242744,0.1265,4
S16012_2016_sum,forest,2490,1072.799477,0.0958,5
S16012_2017_sum,forest,150,1102.379595,0.0554,1
S16012_2017_sum,forest,210,1102.732485,0.0465,2
S16012_2017_sum,forest,270,1102.876756,0.0432,3
S16012_2017_sum,forest,330,1103.044252,0.0398,4
S16012_2017_sum,forest,1470,1103.294772,0.0351,5
S16013_2016_win,forest,2970,928.898758,0.3458,1
S16013_2016_win,forest,2910,929.3470295,0.2764,2
S16013_2016_win,forest,3030,929.9146315,0.2081,3
