ID,model,scale,AIC,AICw,rank
N15011_2015_sum,forest,510,312.7024564,0.2956,1
N15011_2015_sum,forest,570,313.0449538,0.249,2
N15011_2015_sum,forest,450,314.0233822,0.1527,3
N15011_2015_sum,forest,630,314.8072615,0.1032,4
N15011_2015_sum,forest,690,316.0316635,0.0559,5
N15013_2015_sum,forest,90,301.8700501,0.6845,1
N15013_2015_sum,forest,150,303.9979959,0.2362,2
N15013_2015_sum,forest,210,306.868589,0.0562,3
N15013_2015_sum,forest,270,308.9603691,0.0198,4
N15013_2015_sum,forest,330,313.0239278,0.0026,5
N15014_2015_sum,forest,1230,1136.320069,0.6028,1
N15014_2015_sum,forest,1290,1138.357239,0.2177,2
N15014_2015_sum,forest,1170,1139.185223,0.1439,3
N15014_2015_sum,forest,1350,1142.10899,0.0334,4
N15014_2015_sum,forest,1410,1148.254423,0.0015,5
N15017_2015_sum,forest,2190,1228.529436,0.2095,1
N15017_2015_sum,forest,2130,1228.752604,0.1873,2
N15017_2015_sum,forest,2070,1228.782322,0.1846,3
N15017_2015_sum,forest,2010,1229.248823,0.1462,4
N15017_2015_sum,forest,2250,1229.755884,0.1134,5
N15018_2015_sum,forest,630,1260.639179,0.1888,1
N15018_2015_sum,forest,570,1260.803549,0.1739,2
N15018_2015_sum,forest,690,1262.31245,0.0818,3
N15018_2015_sum,forest,510,1262.520413,0.0737,4
N15018_2015_sum,forest,870,1262.7544,0.0656,5
N15022_2015_sum,forest,990,1234.361584,0.5169,1
N15022_2015_sum,forest,930,1236.038519,0.2235,2
N15022_2015_sum,forest,1050,1236.545203,0.1735,3
N15022_2015_sum,forest,870,1238.976438,0.0514,4
N15022_2015_sum,forest,1110,1240.091181,0.0295,5
N15023_2015_sum,forest,690,1387.08696,0.56,1
N15023_2015_sum,forest,630,1388.840964,0.233,2
N15023_2015_sum,forest,750,1389.47694,0.1695,3
N15023_2015_sum,forest,570,1393.323669,0.0248,4
N15023_2015_sum,forest,810,1395.693318,0.0076,5
N15023_2016_win,forest,1710,1377.392256,0.4197,1
N15023_2016_win,forest,630,1378.64608,0.2242,2
N15023_2016_win,forest,1770,1379.554079,0.1424,3
N15023_2016_win,forest,690,1379.594178,0.1396,4
N15023_2016_win,forest,1650,1381.366342,0.0575,5
N15023_2016_sum,forest,270,1318.599931,0.881,1
N15023_2016_sum,forest,330,1322.79871,0.1079,2
N15023_2016_sum,forest,390,1327.711198,0.0093,3
N15023_2016_sum,forest,210,1332.24034,0.001,4
N15023_2016_sum,forest,450,1332.54421,8.00E-04,5
N15026_2015_sum,forest,1710,1331.361761,0.3637,1
N15026_2015_sum,forest,1650,1332.073116,0.2548,2
N15026_2015_sum,forest,1770,1333.346978,0.1348,3
N15026_2015_sum,forest,210,1334.045583,0.0951,4
N15026_2015_sum,forest,270,1334.481781,0.0764,5
N15028_2015_sum,forest,510,1351.238203,0.7305,1
N15028_2015_sum,forest,450,1353.271549,0.2643,2
N15028_2015_sum,forest,570,1361.684176,0.0039,3
N15028_2015_sum,forest,390,1364.035046,0.0012,4
N15028_2015_sum,forest,630,1374.031203,0,5
N15033_2015_sum,forest,1590,1330.973146,0.4337,1
N15033_2015_sum,forest,1530,1331.762056,0.2923,2
N15033_2015_sum,forest,1650,1332.853654,0.1694,3
N15033_2015_sum,forest,1710,1334.94377,0.0596,4
N15033_2015_sum,forest,1470,1336.612794,0.0259,5
N15034_2015_sum,forest,2850,1315.849062,0.9895,1
N15034_2015_sum,forest,2910,1324.9352,0.0105,2
N15034_2015_sum,forest,2790,1340.191151,0,3
N15034_2015_sum,forest,2970,1355.70055,0,4
N15034_2015_sum,forest,210,1366.18282,0,5
N15035_2015_sum,forest,330,1345.374718,0.8999,1
N15035_2015_sum,forest,390,1349.767338,0.1001,2
N15035_2015_sum,forest,450,1369.11327,0,3
N15035_2015_sum,forest,270,1369.46786,0,4
N15035_2015_sum,forest,210,1383.093641,0,5
N15037_2015_sum,forest,1470,1419.544787,0.9919,1
N15037_2015_sum,forest,1410,1429.156191,0.0081,2
N15037_2015_sum,forest,1350,1442.391501,0,3
N15037_2015_sum,forest,1530,1443.975416,0,4
N15037_2015_sum,forest,1290,1451.323838,0,5
N15040_2015_sum,forest,3270,1118.744893,0.3935,1
N15040_2015_sum,forest,3210,1119.018592,0.3431,2
N15040_2015_sum,forest,3330,1120.916923,0.1328,3
N15040_2015_sum,forest,3150,1121.945489,0.0794,4
N15040_2015_sum,forest,3090,1124.571941,0.0214,5
N15043_2015_sum,forest,1950,1389.177753,0.5043,1
N15043_2015_sum,forest,1890,1390.212347,0.3006,2
N15043_2015_sum,forest,2010,1391.617575,0.1489,3
N15043_2015_sum,forest,1830,1394.208312,0.0408,4
N15043_2015_sum,forest,2070,1398.618394,0.0045,5
N15045_2015_sum,forest,2610,1370.9638,0.1881,1
N15045_2015_sum,forest,2670,1371.167881,0.1698,2
N15045_2015_sum,forest,2730,1371.961902,0.1142,3
N15045_2015_sum,forest,2550,1372.134702,0.1047,4
N15045_2015_sum,forest,2790,1373.0983,0.0647,5
N15045_2016_win,forest,3210,1081.100217,0.0551,1
N15045_2016_win,forest,3150,1081.128621,0.0543,2
N15045_2016_win,forest,3270,1081.584836,0.0432,3
N15045_2016_win,forest,3330,1081.719347,0.0404,4
N15045_2016_win,forest,3390,1081.903887,0.0368,5
N15045_2016_sum,forest,2790,1398.976274,0.2145,1
N15045_2016_sum,forest,2850,1399.471167,0.1675,2
N15045_2016_sum,forest,2970,1399.561491,0.1601,3
N15045_2016_sum,forest,2730,1399.644645,0.1536,4
N15045_2016_sum,forest,2910,1399.770379,0.1442,5
N15048_2015_sum,forest,570,1271.70746,0.2566,1
N15048_2015_sum,forest,630,1272.221639,0.1984,2
N15048_2015_sum,forest,510,1272.303076,0.1905,3
N15048_2015_sum,forest,690,1272.80826,0.148,4
N15048_2015_sum,forest,450,1273.479067,0.1058,5
N15048_2015_win,forest,1230,908.1328272,0.2582,1
N15048_2015_win,forest,1170,908.3837505,0.2277,2
N15048_2015_win,forest,1110,908.493887,0.2155,3
N15048_2015_win,forest,1050,910.099135,0.0966,4
N15048_2015_win,forest,1350,911.2719143,0.0537,5
N15048_2016_win,forest,3510,1162.279193,0.3849,1
N15048_2016_win,forest,3570,1163.399316,0.2198,2
N15048_2016_win,forest,3690,1164.286582,0.1411,3
N15048_2016_win,forest,3630,1164.458633,0.1294,4
N15048_2016_win,forest,3450,1165.471368,0.078,5
N15048_2016_sum,forest,2910,778.7482435,0.753,1
N15048_2016_sum,forest,2850,782.1552226,0.1371,2
N15048_2016_sum,forest,2970,782.6191153,0.1087,3
N15048_2016_sum,forest,3030,792.6176866,7.00E-04,4
N15048_2016_sum,forest,2790,793.5800329,5.00E-04,5
N15048_2017_sum,forest,3870,604.0102105,0.476,1
N15048_2017_sum,forest,3810,605.0134323,0.2883,2
N15048_2017_sum,forest,3750,606.340893,0.1484,3
N15048_2017_sum,forest,3690,608.533631,0.0496,4
N15048_2017_sum,forest,3630,610.3573165,0.0199,5
N15050_2015_sum,forest,390,1140.381529,0.5283,1
N15050_2015_sum,forest,330,1141.312851,0.3316,2
N15050_2015_sum,forest,450,1143.234229,0.1269,3
N15050_2015_sum,forest,270,1148.342435,0.0099,4
N15050_2015_sum,forest,510,1150.738787,0.003,5
N15055_2015_win,forest,210,1484.810112,0.5125,1
N15055_2015_win,forest,270,1485.36898,0.3875,2
N15055_2015_win,forest,150,1488.180112,0.095,3
N15055_2015_win,forest,330,1494.731882,0.0036,4
N15055_2015_win,forest,90,1496.713546,0.0013,5
N15055_2015_sum,forest,1290,1183.313368,0.4927,1
N15055_2015_sum,forest,1230,1183.477924,0.4538,2
N15055_2015_sum,forest,1350,1188.125472,0.0444,3
N15055_2015_sum,forest,1170,1191.683052,0.0075,4
N15055_2015_sum,forest,1410,1194.983427,0.0014,5
N15056_2015_win,forest,3330,1507.846017,0.5185,1
N15056_2015_win,forest,3270,1509.252744,0.2566,2
N15056_2015_win,forest,3390,1510.409881,0.1439,3
N15056_2015_win,forest,3210,1512.639347,0.0472,4
N15056_2015_win,forest,3450,1513.528494,0.0303,5
N15056_2015_sum,forest,2130,1036.104726,0.4154,1
N15056_2015_sum,forest,2190,1036.448175,0.3499,2
N15056_2015_sum,forest,2070,1038.400677,0.1318,3
N15056_2015_sum,forest,2250,1039.827211,0.0646,4
N15056_2015_sum,forest,2010,1041.163749,0.0331,5
N15056_2016_win,forest,390,1450.874013,0.6754,1
N15056_2016_win,forest,450,1452.513363,0.2976,2
N15056_2016_win,forest,510,1458.153588,0.0177,3
N15056_2016_win,forest,330,1459.45369,0.0093,4
N15056_2016_win,forest,570,1469.084466,1.00E-04,5
N15056_2016_sum,forest,450,1316.37298,0.4544,1
N15056_2016_sum,forest,510,1316.741132,0.378,2
N15056_2016_sum,forest,570,1319.426553,0.0987,3
N15056_2016_sum,forest,390,1321.702191,0.0316,4
N15056_2016_sum,forest,630,1322.081377,0.0262,5
N15058_2015_sum,forest,2670,1409.663376,0.4427,1
N15058_2015_sum,forest,2610,1410.2214,0.3349,2
N15058_2015_sum,forest,2550,1412.574899,0.1032,3
N15058_2015_sum,forest,2730,1412.69006,0.0975,4
N15058_2015_sum,forest,2790,1416.857021,0.0121,5
N15059_2015_win,forest,2550,1320.046351,0.2481,1
N15059_2015_win,forest,2490,1320.574519,0.1905,2
N15059_2015_win,forest,2610,1321.301693,0.1325,3
N15059_2015_win,forest,3870,1321.330831,0.1305,4
N15059_2015_win,forest,2430,1321.542267,0.1174,5
N15059_2015_sum,forest,90,912.1035738,0.6416,1
N15059_2015_sum,forest,30,913.6293523,0.2992,2
